,Business,Auth Score
0,Yyym58vWvlRPuMCOICWRBw,134
1,Xg12RikHzyFCgFBApWtcdw,104
2,Mf9io8WkMyGautXuSSfGTg,288
3,t-jwGEBsMYlQYxiiqImpIQ,384
4,JeU01XydOJZBWAnlqHwP7w,100
5,fyE5YY52BuPH9NUyvaTpSg,21
6,xH0jFsCsdC5qIRCPK2rQQw,11
7,IAxXfqa5dZ89oWLhiNpwhA,38
8,RnbGHCsUHXZHg6uovJEOuw,14
9,EVRxtTx_olxE0FOXpq2jyQ,29
10,Lbkmt8RRWw_VefKsa6kFiQ,148
11,92U5Fpu4dFh4wZvAJHM6lw,19
12,Fk6ukR0VYItru6FKSg9HWw,688
13,9c0TJ0m9Jq-PVyXUGzCT0A,492
14,ORQERPJ_ZXq_jdKwwOIXbQ,33
15,hFInClJns9HoGiB-eq-xtg,272
16,YIMAkkwK_8sBlUEnesSCZA,611
17,Ttdi1GklLuUL2Jfz25NAOQ,568
18,Ggj82AEtf-6St6_0OvcPxw,149
19,cf3cpzJKYcwYYLwCdZt4nw,20
20,aSCQeWftYjWWjwQiCfg7sA,99
21,DLiqGCGmEvlvDtHN3v1y7w,7
22,Jty06K7-b5v_bE6hlSXLBg,8
23,yQ2tSfi02Wx_2BMKMudElQ,18
24,We-g--hzNy9pJbVuNt4y8A,22
25,umx-MG4EvFoXWMH0FK52ew,81
26,yhnMXdiJUmD-d4vIbyYAAA,137
27,g93Zs0YcG5B7Zcz_YWXXkA,355
28,uvi1qU1MoScdIN5jzWuMsQ,321
29,g4MSwAbA0lteNqFEMDJWOQ,17
30,XmM4-SnXtz37G5aXDkzp5A,12
31,DrQuKhjlSbamzC9F0lXOzQ,379
32,riOZPe7n3aiqALFBgtRyrQ,36
33,zJwaZLSbj75X_i-gmRvvQA,13
34,2Abz7Mze51E9GMI_mhDriA,15
35,FU6Zwpiutkz1k2IAYCXBxA,49
36,in_z30OnPyDwh8jxWBTpNQ,85
37,8xuDj4JiODmlTwv1uNI8XA,27
38,w6yVZ_8X6XBeDkPAE1bi1A,7
39,WiZwFUPIoH1a3Lt4ulXyWQ,109
40,zpsdqTGCXlQ0b_FlZRgkfA,22
41,aLTztWKZj6JNKXQ8OYTo6Q,687
42,zqMeyheGDu5f5xACncsosw,5
43,fz2U9Mr9HuQTJeryUePu0g,115
44,wLHLYa0DmjARl7tE2GSZdw,856
45,PoF5Xpd_PyDvu2mdb7iUyA,70
46,gWYzvh1S3LuiuraiZSDi8A,101
47,7_FLBHFL1ezR5OKHy0jGvA,138
48,_OjSJHhQLtKowY0v6LME-g,19
49,TDQ0lSTHW3RyfVWQuwbBGg,2322
50,foEf7vo6AFr_FayWt_7sbQ,36
51,nbCK0kdTrEMby6luCfdo8A,9
52,gymhlzBz0uRHXeIXNE_ETw,262
53,PZ5frL_TOMraszgUjGc3bA,10
54,PgHJ1Pw3dMWxw4cw1DqLtw,394
55,YKq8RvURpPLN2lfTHOvmAA,11
56,t5-Mtshtu2tiaxdrjpYdcQ,78
57,ePp5GHrsIF9Ujxo2QE_2pQ,541
58,TgV3tXgKAlPYdhdxQ3ogTA,21
59,PffqggGwCvqJN2HdZAhgzQ,43
60,4fgFr6XMv0tI41nINQ5fKw,252
61,QDFZa9ffy0AHI4Y_5X2Zzg,30
62,iVufBRVDSCj4Mhrw5_aF6Q,29
63,Fkf7gNoK3UWH9e5NSmqYIA,42
64,9Nd-iUxUJ8rUquL_6zjS-Q,81
65,QdzcEf1OZ1pFwmP1WwysjA,325
66,y1WeMCv-I16fbGLivgI-nQ,58
67,hTBGfuyny23_TN1mnowL3Q,475
68,9wL5M39Jx-LYx5eyHBoTRg,270
69,UZTzlp3ObiKVMcYfG1QqUg,15
70,pC_LcJ2LAaCvH3IN1POS2A,157
71,I9nN3fAKSgQAAn3uyItvTw,208
72,uKY6mL1tuJJr2QWWCi26uA,122
73,IuSPZ37pa3GyE4PVTGlR6Q,184
74,qpGM9CqM3FFu4Meec4vV1g,148
75,OOgZP-MF8-8EUPNrtXTwfQ,25
76,LMzCJm-EfQhNkCxzdZmHpQ,29
77,ObHc2Y16ZQwHQzfQsOu7vg,9
78,EEASyy-TwGE__-QzmMPMdg,169
79,kwLzXTBNRhz9araScfT06g,300
80,GE6C4sjSFKRdbB99g93N5A,61
81,I8rrpIT8vxaYeiSQhc1aiw,64
82,q_OJwJDyLp25Uo_Gpu-1zA,102
83,s_gmZYDkykM_2NzbPeJsfQ,542
84,x-EHurLSxaj0XxVVjdEYEw,21
85,I-mG0IJdCsGHVcHh7RgEqg,15
86,_GOHNG4XZd5TToU6Xnw2Fg,85
87,ZsL9x34cuBwUhHcF5dKT8A,76
88,OdLix5-0prtZdIzhktCjJA,24
89,c1ulKY2V3tCXW1MQkiSF_A,259
90,hTGEtCJcFewhD_dp8gNwKQ,69
91,vIjwO_Zoie83l5sayr2VvQ,38
92,9LwjuonJqKdL2iieNuS4mQ,195
93,XFIZkTK8hZEEflZLXiFH5Q,27
94,ycCLPNrua9W_gLg5rO0eaw,173
95,duKN8AgI0bVll_uf79fKTw,19
96,zIjLnI4QI2iIeCXqT65ToA,138
97,NdZdfpNMFNMqngQfntoAUw,39
98,pRf2UqZysWNx7jK13Cwa6g,182
99,eDbBD_tedNG3zLEGoHI2XA,362
100,R8fLQ6TLz06MQR69KQJ83g,3030
101,ZcU4f1yrW6xPkQZJw1N-Cg,73
102,ge0EA65MTtPu05U1eTEIxA,12
103,VXIHuiDfzzdmKhlkweT4Zw,80
104,CrXimEAGMV-zD5cYHLdtHQ,26
105,289ddwg2Pn1OhlT2SjXQvQ,559
106,JFqm0DAeJu5QtjwsW6Kuqg,484
107,QNRNBEfAExG6PVB0VNt-Lw,176
108,s6REZ2GzuMJbPmQrllV-2Q,112
109,LppG1feltOuVZYl04lSMEw,287
110,f2AKJPv30MgH15jXYmDypg,151
111,aTaY1M_WL0Dk-CwssDl9FQ,14
112,za7as1wi0faskW_ZBqJuuw,6
113,nqvgUeG46zEh_wTrTMIMfQ,9
114,je295BZsK7HtYceCTvT48g,153
115,3mOZXMaKrf_CYs01hGus9w,136
116,MhgRzcaDMqdIJJGebkBshQ,81
117,GbRnsy9G-9Hb2Lnhg8r59g,36
118,gPWBY4sBRlMwZQCS0megEA,27
119,4dSwQNOA5yKbnuQ0EqETRg,71
120,Xhmz1SZnPovMNnVKI4umHA,14
121,nU-S7XRc14kT1wNM3rc_Yg,471
122,TiavT1mRqd8inQ1dwBYzNg,108
123,asBoY4m6atO1SJneW-hj8g,12
124,fF0jo9xYtKy4c7TqHOs5aA,109
125,lQDztsRIB7vh6QYcQCX7DQ,34
126,HRgkiVz2TqfMkCS9f1JDkw,38
127,rMNwkuoiHBwjFZlrV9n4rg,191
128,82abcJRUu-mqqLmsaVPWCA,18
129,Tjeh63fd3W0YEEW1j6tQXg,24
130,-uy7MSJkn2a8a7qYDx8iHQ,64
131,4jOreXu9ctLBWOJWMtNv1w,352
132,8_j8qojVTpnGK6KHsbojdQ,32
133,L39eDFM0koytGrtfySYWfw,639
134,4fv3LLm1YhssvinomIqugQ,152
135,VKKULPUhvStzt_yXxl-hyw,24
136,72Hlosf_CxEQgw4yFjIzeg,59
137,IrQsAceWxBzs6HsnIN6BnA,36
138,WQFn1A7-UAA4JT5YWiop_w,1341
139,aVI2RO5c4SVLkeziiMXMfA,20
140,iMmr9nW1uwDb4wRiNFhfvQ,79
141,xMOUK9BJri2dfuUQKzZjbQ,34
142,__v852ndZOY0_iOYEKcO-w,13
143,Bwy5fyJniv8kJI6Mt3jiIA,75
144,Pc-9Q6To_bYL1AKtFiYeag,134
145,IkTv4OUvIkC8-ISAS900gQ,30
146,MAJdlgSv5jw0_c2nXNL1vA,345
147,vpc2imrks9KeDALYaM1rGA,115
148,SjyTb_6IosqCXpCRaKcWTg,78
149,qFXGCo7UoBQK0YYJyF9rEA,75
150,7cgsrdFmKTNfKmPjZQv2lQ,51
151,iQr4p4LxH3zi3Qx5a74ZoA,627
152,dTvxhXdJwBLaOLuSVcNuIw,38
153,xWZdojRWoPtnkDWdKZHy3A,18
154,anTFQdJc6i8hWjXhtHnTAw,31
155,HbqSao0WSeukiZfcza7RUw,58
156,OVbBaazmg7uvRyDjHi76hA,26
157,PgAihGrv8kHaV_6zIAwvEQ,2145
158,eY3-ZE8-njGOglACqFYqVQ,1840
159,KR7RkHdwAQ7ZdwkPKFbImw,28
160,rgGJMwcrNTuCcY493q_YuA,2373
161,qZMhCr-MAcJ7Z29ndMJM7w,30
162,4_scDQ_hNwtkmEgcdWTCHA,7
163,X0C6kSIsmv3QhPAoi9Sx2A,104
164,VjHmiE0VXbxZSsMO_GC99Q,133
165,sq4bOgJRWFLBPmvzHFGUCQ,36
166,ntR-YbnU80Nx3jb4Bf3s1A,79
167,5xDU2rGPH-vgVYgkvPOBhQ,28
168,GWVRL4S8ghi3upqJ3dZINw,68
169,uKWUM75mrXsLltX4-7tTEg,108
170,NNh_hPHle6bjuvJw1PE4Qg,55
171,jUEiYQp_IffAP8GOc0apsg,93
172,HfYfJaoBnMReKHn3GZsXhg,214
173,S5lyqbi-9vvtMAXPshYsWg,15
174,A83qkOnQhzmr7XHzyzZSzA,69
175,2F1BaBddnwN7OS7skSPEpw,147
176,hun07JnyTs9Ide-FrQ64UQ,70
177,b4ADU-22hEjIs0wvaRz39A,27
178,3hIazoC1ZQnvlk3-e1T0kw,22
179,tuboNpCsW4u5yYwjN8tq7A,93
180,ykYm7PJ1ZilBYe3fNnPBbA,10
181,o48vXhP4p4F3rcD5f_H2fg,25
182,KjTgZjYVeKucLto_PHO2lw,333
183,_497Ozj0-FLgNM6cpSMbrw,256
184,rynOciIFum3WYIL-OV8rgQ,282
185,7Q7un33R5uGQ2mbPbknOjw,107
186,0ufzllUomcyLWJNQ42fIjg,44
187,lN23XtUwZKSsXl72S2cBIA,118
188,iv-dFFvYYU3dqD-OMEA4-A,16
189,Co1xYVXBzNOD5Lu0QJKNqg,7
190,Z40UPSOTi1lCuHPxZKhvgQ,33
