,User,Hub Score
0,XILSEok-O_4pBRWqfEv6uA,134
1,-WjK92cNNSoJwm89uvb75A,3218
2,Mto4EEpGm_Q4dDUUYYweRQ,134
3,pyArLpxxzDYZQj7-x9nFiA,134
4,ptb2nEgBng_wjZFD8Y0GfA,134
5,07jV9xebBYZA6-VGdG1lMA,3298
6,e8y0ftu4k4sT2CWQX2B48w,134
7,8pvEBrVRy7V5oWPCHKgIgg,134
8,wjQv92px4xHjbBoATkOTUw,17421
9,JykKNyDkwcDIIdhkqpqz1w,3365
10,F2BDf2jiHGFQ2VMYlXYG_g,5634
11,YLPvQZbRO8dHRX5e3nL6ag,2505
12,cP2mjMl3_Nw8DOp7tVLToQ,154
13,uz0iEnoGT-9j4lNAwZZDKg,134
14,UHYdgsZ8wwfQvAiJ46R_JQ,385
15,2fB89QdR0nqmxotHM0REcw,134
16,wYRcvV_KXnUm-Il6882QRw,134
17,I6WhgHpxB3_U5AEYiA-rQg,134
18,6qZu1gRikNLWmbFnviGsVA,2072
19,h_Z_OOySHEKrQ4HBjKKYkA,1223
20,U7007t_Qmqt6JeEqHgyXjA,134
21,FHCvNvHWff-LlBlyxV3VEQ,134
22,1FcaD_uIHuBlKuVNaOdkDg,134
23,yTuRJJ7bS0AKC78XOz5UVQ,167
24,dfU_Hvz-lGsY2IRMwl2hXA,14863
25,541ODg3GJxUS3O2mPdaO-A,1196
26,6YYpJ59jfFCUHkGOpu2NTA,9976
27,6mNqp9AaAX-UNkoCQXn7kQ,134
28,wYOcq5gurw0_0ci9JQlPVg,1181
29,KZVs3zKW_mDkupee-QoSUA,12542
30,RXpxVqcswHI81cDv0OtJSw,104
31,PXbYkknutlc2dfCIZu4PQA,104
32,BvhjR8KCACsW8Lr_ym3tvw,104
33,AjGLQ42WHJ49WBcPGLhctw,5781
34,0yB_CSsXxvu9eK_TqKRWaQ,104
35,pjxct95Gn4HT2ZVP7Iy22w,233
36,HjwEJSSj9v-6FHIvxqDXjw,7176
37,sYjLu0dPN0Ya2BJFixYXeg,8575
38,zAWG41-XhPQNQTC8ZTMxEA,458
39,d9-5qt3gw-87bymuoz8eXg,3875
40,umdt4-BVieFL3IlN2CYMgQ,288
41,cyLUuTfOkIj47VR9XtVjYQ,288
42,tuSuPdcVvqUJ5Mlfepa3gg,458
43,ZkxVnYP1U6Nr-6_lIZiFcg,8427
44,9IS7Qkc4ola2P8w82xqF8g,523
45,lUH_BJb2OAEd9mBztx4byw,288
46,fS0M7BDhypCkS6PP0K66lQ,2091
47,78zN_NAbZ9Bwlh_1Dma4ng,716
48,I3qsI9__Z_hKQHEz7dE8Vw,288
49,9M_jVAFji9XsZA_PKIGYxg,9191
50,37rFkecNukwKoUu_3NDkpg,25543
51,oP5fyEVFl4e7hnXfwIwAsw,288
52,juRqShBh2fgq3-wvgdRP1Q,288
53,saB7L3A8X-2RGT2iy3vVVg,544
54,ifjgPJ_P-YF6J5IAqoNOxg,288
55,NRqq2BHuYWpxRziRQl7EXw,28109
56,AuvrnT7nacGGzxUvYBcSFA,7484
57,96ja9OTSJakZ3EkL39lmDg,288
58,A4t_sn9IYhEuadYhH3wP5Q,527
59,lixswFBdTLBQEfq9gmxZCw,14330
60,p-AbdqncXYyhRgSWpSNIcQ,288
61,uV1_CYOo0CsxFoUHqhy5nw,288
62,qa0s9PK7hVoZHiG1XtXzMw,288
63,udxan2HYorUWMMYTDfKI4w,288
64,ghA6BZzVvC0xxwmP7ysq_Q,2101
65,ipQ8NtbvEumt6l0Ql1ju4Q,288
66,jnxgeymWjNw0uXe_4qQy4g,20183
